accx,accy,accz
0.7402,-0.0364,0.0222
0.7464,-0.0435,0.0281
0.7532,-0.0515,0.0322
0.7598,-0.0603,0.0349
0.7664,-0.0684,0.0374
0.7732,-0.0762,0.0408
0.7803,-0.084,0.0437
0.7876,-0.0916,0.0472
0.7947,-0.1014,0.0518
0.8021,-0.1109,0.0559
0.8104,-0.1187,0.0594
0.8189,-0.1239,0.0643
0.8267,-0.1263,0.0691
0.8341,-0.1273,0.0735
0.8414,-0.1266,0.0774
0.848,-0.1246,0.0816
0.8531,-0.1212,0.0858
0.8578,-0.117,0.0892
0.8619,-0.1126,0.0919
0.8666,-0.108,0.0943
0.8712,-0.1036,0.0953
0.8761,-0.0999,0.0945
0.8807,-0.0975,0.095
0.8841,-0.0958,0.0953
0.8871,-0.0945,0.0953
0.89,-0.0931,0.0965
0.892,-0.0921,0.0977
0.8946,-0.0909,0.0977
0.8971,-0.0894,0.0953
0.8981,-0.0887,0.0928
0.8993,-0.0894,0.0909
0.9005,-0.0892,0.0897
0.902,-0.0882,0.0889
0.9034,-0.0875,0.0916
0.9044,-0.087,0.0943
0.9047,-0.085,0.097
0.9052,-0.0833,0.0999
0.9059,-0.0823,0.1021
0.9071,-0.0804,0.1031
0.9076,-0.077,0.1026
0.9069,-0.0733,0.1024
0.9074,-0.0694,0.1024
0.91,-0.0652,0.1009
0.9137,-0.0611,0.0992
0.9171,-0.0577,0.0963
0.9205,-0.0545,0.0933
0.9252,-0.0506,0.0906
0.9303,-0.0469,0.087
0.9369,-0.0435,0.0831
0.9442,-0.0406,0.0796
0.9528,-0.0371,0.0779
0.9633,-0.0327,0.077
0.9743,-0.0281,0.0772
0.985,-0.0244,0.0787
0.9958,-0.0215,0.0809
1.007,-0.0183,0.0838
1.019,-0.0159,0.0887
1.0319,-0.0139,0.0938
1.0459,-0.012,0.0992
1.0608,-0.011,0.1065
1.0749,-0.0107,0.1146
1.0896,-0.0105,0.1219
1.1045,-0.0098,0.1275
1.1194,-0.0088,0.1331
1.1348,-0.0093,0.1402
1.1502,-0.0105,0.1485
1.1656,-0.0112,0.1583
1.181,-0.0122,0.1693
1.1959,-0.0125,0.1779
1.21,-0.0132,0.1859
1.2215,-0.0161,0.1935
1.2301,-0.0203,0.2025
1.2391,-0.0235,0.2118
1.2479,-0.0271,0.2201
1.2562,-0.032,0.2282
1.264,-0.0374,0.2358
1.2704,-0.0432,0.2416
1.2743,-0.0491,0.2465
1.2748,-0.0547,0.2509
1.2753,-0.0611,0.2548
1.2758,-0.0657,0.2597
1.2745,-0.0638,0.2665
1.2736,-0.0638,0.2734
1.2726,-0.0682,0.2753
1.2697,-0.0723,0.2744
1.265,-0.076,0.2753
1.2589,-0.0796,0.2761
1.2511,-0.0818,0.2768
1.2428,-0.0823,0.2775
1.2345,-0.0814,0.2766
1.2269,-0.0806,0.2722
1.2201,-0.0782,0.2643
1.2157,-0.0726,0.2555
1.2127,-0.0713,0.2426
1.2081,-0.0699,0.2262
1.2047,-0.0645,0.214
1.2008,-0.0638,0.2047
1.1978,-0.0684,0.1928
1.1932,-0.0745,0.1786
1.1866,-0.0784,0.1615
1.1785,-0.0809,0.1454
1.169,-0.0848,0.1283
1.159,-0.0875,0.1104
1.148,-0.0872,0.0938
1.1363,-0.0858,0.0765
1.1241,-0.0845,0.0579
1.1099,-0.0836,0.0381
1.094,-0.0809,0.0181
1.0808,-0.0772,0.0007
1.0725,-0.0752,-0.0134
1.0691,-0.074,-0.0254
1.0703,-0.0772,-0.0315
1.0759,-0.0836,-0.033
1.0874,-0.0928,-0.031
1.105,-0.1065,-0.0281
1.1267,-0.1217,-0.0254
1.1512,-0.1358,-0.0208
1.1788,-0.1498,-0.011
1.2103,-0.1632,0.0034
1.2455,-0.1749,0.0205
1.2797,-0.1849,0.0381
1.3117,-0.1923,0.0564
1.341,-0.1984,0.0743
1.3681,-0.2023,0.0914
1.3935,-0.2023,0.1085
1.4189,-0.2023,0.1187
1.4426,-0.2064,0.1204
1.4671,-0.2133,0.1165
1.4917,-0.2235,0.1094
1.512,-0.2326,0.0982
1.5323,-0.2399,0.0828
1.5535,-0.2472,0.0643
1.5743,-0.2568,0.0423
1.5929,-0.2643,0.0159
1.6088,-0.2668,-0.0142
1.6222,-0.267,-0.0437
1.6339,-0.2634,-0.0728
1.6434,-0.2563,-0.1011
1.6486,-0.2453,-0.129
1.6469,-0.2306,-0.1554
1.6369,-0.2143,-0.1796
1.6195,-0.1996,-0.1991
1.5951,-0.1857,-0.213
1.5662,-0.1737,-0.2228
1.5325,-0.1637,-0.2277
1.4954,-0.1534,-0.2299
1.4561,-0.1441,-0.2294
1.4148,-0.1349,-0.2279
1.3728,-0.1263,-0.2255
1.329,-0.1175,-0.2204
1.2853,-0.108,-0.2138
1.2423,-0.0997,-0.2069
1.2005,-0.0923,-0.1996
1.1607,-0.0853,-0.1915
1.1214,-0.0779,-0.1854
1.0828,-0.0699,-0.1818
1.0461,-0.0621,-0.1774
1.0122,-0.0552,-0.1742
0.9792,-0.0486,-0.1717
0.9469,-0.0415,-0.1698
0.9161,-0.0347,-0.1659
0.8898,-0.0288,-0.1615
0.867,-0.0227,-0.1583
0.8477,-0.0171,-0.1556
0.8294,-0.0127,-0.1527
0.8123,-0.0103,-0.15
0.7967,-0.0076,-0.1493
0.7828,-0.0032,-0.1502
0.7688,0.001,-0.152
0.7539,0.0046,-0.1539
0.74,0.0081,-0.1542
0.7278,0.012,-0.152
0.7168,0.0147,-0.1478
0.7075,0.0169,-0.1419
0.7004,0.021,-0.1361
0.696,0.0259,-0.13
0.6943,0.0303,-0.1222
0.6958,0.034,-0.1143
0.7014,0.0374,-0.1053
0.71,0.0406,-0.0965
0.7224,0.0413,-0.0887
0.7383,0.0391,-0.0814
0.7547,0.0362,-0.0757
0.7698,0.033,-0.0704
0.7847,0.0283,-0.066
0.7986,0.0237,-0.0621
0.8126,0.0191,-0.0584
0.8275,0.0144,-0.054
0.8414,0.0078,-0.0498
0.8558,0.0015,-0.0454
0.8705,-0.0051,-0.0403
0.8846,-0.012,-0.034
0.9054,-0.0235,-0.0249
0.9183,-0.031,-0.0186
0.9308,-0.0381,-0.0122
0.9433,-0.0452,-0.0051
0.956,-0.0518,0.0017
0.9672,-0.0579,0.0081
0.9772,-0.0652,0.0142
0.9877,-0.0723,0.0208
0.9977,-0.0792,0.0264
1.008,-0.0848,0.031
1.0183,-0.0901,0.0352
1.0266,-0.0955,0.0386
1.0337,-0.0999,0.0408
1.0398,-0.1038,0.042
1.0459,-0.108,0.0437
1.05,-0.1114,0.0447
1.0542,-0.1131,0.0445
1.0574,-0.1141,0.043
1.0591,-0.1146,0.0401
1.0603,-0.1148,0.0376
1.0622,-0.1156,0.0359
1.0637,-0.1151,0.0337
1.064,-0.1138,0.0313
1.0625,-0.1114,0.0281
1.0588,-0.1082,0.0242
1.0559,-0.1058,0.0217
1.0517,-0.1024,0.0208
1.0456,-0.0987,0.0186
1.0373,-0.0941,0.0173
1.028,-0.0882,0.0171
1.0188,-0.0823,0.0173
1.0092,-0.077,0.0169
0.9987,-0.0723,0.0156
0.987,-0.0679,0.0151
0.975,-0.063,0.0147
0.9623,-0.0581,0.0144
0.9494,-0.0542,0.0139
0.9367,-0.0501,0.0137
0.9249,-0.0454,0.0137
0.9132,-0.0406,0.0144
0.9003,-0.0357,0.0151
0.8878,-0.0303,0.0156
0.8761,-0.0257,0.0147
0.8646,-0.022,0.0122
0.8524,-0.0176,0.01
0.8414,-0.0127,0.0086
0.8302,-0.0088,0.0093
0.8179,-0.0049,0.011
0.8055,-0.0015,0.0144
0.7925,0.0005,0.0191
0.7784,0.0024,0.023
0.7649,0.0037,0.0264
0.7517,0.0049,0.031
0.7405,0.0044,0.0359
0.7297,0.0046,0.0401
0.7175,0.0034,0.043
0.7056,0.0005,0.0457
0.6958,-0.0056,0.0442
0.6863,-0.0103,0.0432
0.6758,-0.0142,0.0459
0.6655,-0.0213,0.0476
0.6567,-0.0254,0.0498
0.6489,-0.0266,0.0542
0.6415,-0.0274,0.0601
0.6354,-0.0283,0.066
0.6313,-0.0303,0.0699
0.6291,-0.0325,0.0735
0.6293,-0.0376,0.0757
0.6301,-0.0442,0.0762
0.6306,-0.0484,0.077
0.6323,-0.0528,0.0772
0.6359,-0.0589,0.0772
0.6413,-0.0662,0.0772
0.6472,-0.074,0.0743
0.6543,-0.0833,0.0674
0.664,-0.0933,0.0611
0.6745,-0.1026,0.0557
0.6848,-0.1109,0.0496
0.6948,-0.1192,0.0428
0.7051,-0.1273,0.0344
0.7148,-0.1351,0.0257
0.7244,-0.1419,0.0173
0.7307,-0.1485,0.009
0.7356,-0.1544,0.0022
0.7412,-0.159,-0.0042
0.7464,-0.1625,-0.0105
0.7493,-0.1659,-0.0164
0.7515,-0.1681,-0.0227
0.7527,-0.1688,-0.0296
0.7537,-0.1691,-0.0359
0.7554,-0.1688,-0.0406
0.7561,-0.1686,-0.0437
0.7564,-0.1678,-0.0454
0.7569,-0.1664,-0.0467
0.7583,-0.1647,-0.0472
0.76,-0.162,-0.0481
0.7613,-0.1593,-0.0493
0.7608,-0.1573,-0.0501
0.7598,-0.1549,-0.0503
0.7593,-0.152,-0.0511
0.7605,-0.1495,-0.053
0.7622,-0.1473,-0.0537
0.7627,-0.1449,-0.0537
0.7639,-0.1417,-0.053
0.7657,-0.1378,-0.0525
0.7674,-0.1341,-0.0523
0.7703,-0.13,-0.0525
0.7735,-0.1263,-0.0513
0.7745,-0.1283,-0.053
0.7718,-0.1344,-0.0584
0.7713,-0.1329,-0.0603
0.7749,-0.1266,-0.0584
0.7803,-0.1195,-0.0564
0.7872,-0.1114,-0.0552
0.7938,-0.1033,-0.053
0.8008,-0.0965,-0.0496
0.8089,-0.0897,-0.045
0.8162,-0.0826,-0.041
0.824,-0.076,-0.0388
0.8324,-0.0691,-0.0362
0.8414,-0.0606,-0.0327
0.8502,-0.0511,-0.0291
0.8597,-0.0437,-0.0261
0.8695,-0.0376,-0.0249
0.879,-0.0315,-0.0227
0.8881,-0.0257,-0.022
0.8988,-0.0213,-0.0227
0.91,-0.0183,-0.0235
0.9203,-0.0159,-0.0239
0.9311,-0.0134,-0.0249
0.9416,-0.0127,-0.0274
0.9518,-0.0122,-0.0296
0.9618,-0.0117,-0.0303
0.9716,-0.0117,-0.0303
0.9816,-0.012,-0.0296
0.9909,-0.0139,-0.0288
0.9982,-0.0183,-0.0288
1.0043,-0.0259,-0.0291
1.0109,-0.0357,-0.0283
1.0156,-0.0459,-0.0257
1.0188,-0.0564,-0.0222
1.0214,-0.0679,-0.0181
1.0244,-0.0789,-0.012
1.0258,-0.0906,-0.0056
1.0261,-0.1031,0.002
1.0278,-0.1148,0.0107
1.0305,-0.1261,0.0203
1.0329,-0.1373,0.0298
1.0354,-0.148,0.0398
1.0368,-0.1583,0.0501
1.0393,-0.1678,0.0586
1.0412,-0.1774,0.0667
1.0432,-0.1876,0.0748
1.0473,-0.1972,0.0823
1.0512,-0.2067,0.0906
1.0534,-0.2162,0.0975
1.0564,-0.2248,0.1031
1.0618,-0.2328,0.1082
1.0718,-0.2446,0.1148
1.0789,-0.2519,0.119
1.0862,-0.2575,0.1226
1.0945,-0.2629,0.1266
1.104,-0.268,0.1307
1.1145,-0.2726,0.1329
1.1245,-0.2766,0.1344
1.1358,-0.281,0.1361
1.148,-0.2851,0.1375
1.1602,-0.2878,0.139
1.1717,-0.29,0.1412
1.1824,-0.2922,0.1434
1.1932,-0.2946,0.1451
1.2037,-0.2961,0.1468
1.2132,-0.2981,0.1485
1.221,-0.2993,0.1505
1.2279,-0.299,0.1522
1.233,-0.2993,0.1537
1.2364,-0.3012,0.1539
1.2374,-0.302,0.1534
1.2359,-0.3005,0.1534
1.233,-0.2993,0.1544
1.2286,-0.2993,0.1546
1.2223,-0.2988,0.1544
1.2144,-0.2993,0.1551
1.2061,-0.2988,0.1561
1.1961,-0.2978,0.1566
1.1861,-0.2946,0.1578
1.1749,-0.2907,0.1608
1.1627,-0.2875,0.1639
1.1492,-0.2846,0.1669
1.1355,-0.2807,0.1686
1.1223,-0.2748,0.17
1.1096,-0.268,0.1725
1.0977,-0.2621,0.1739
1.0862,-0.2558,0.1742
1.0757,-0.248,0.1754
1.0666,-0.2389,0.1783
1.0596,-0.2289,0.1805
1.0539,-0.2182,0.1805
1.05,-0.2074,0.1805
1.0486,-0.1967,0.1796
1.0488,-0.1859,0.1764
1.0491,-0.1754,0.1715
1.0503,-0.1644,0.1661
1.053,-0.1537,0.1586
1.0561,-0.1439,0.1483
1.0596,-0.1353,0.1363
1.064,-0.1275,0.1236
1.0676,-0.1207,0.1097
1.0706,-0.1124,0.095
1.0737,-0.1051,0.0804
1.0774,-0.0989,0.065
1.0815,-0.0931,0.0474
1.0859,-0.0889,0.0286
1.0918,-0.0867,0.011
1.0991,-0.0858,-0.0073
1.107,-0.0858,-0.0259
