accx,accy,accz
0.9933,-0.0672,0.3848
0.9403,-0.0318,0.0848
0.8597,-0.0044,-0.0012
0.6398,-0.0203,0.0606
0.4046,-0.0542,0.1774
0.2653,-0.1383,0.2643
0.5174,-0.1109,0.3396
0.7217,-0.0247,0.2409
0.6508,0.002,0.0396
0.71,0.0591,-0.0486
0.7322,0.0772,0.1329
0.7285,0.0606,0.3875
0.675,0.0237,0.2531
0.6843,-0.002,0.0
0.8214,0.0037,0.1143
0.8582,-0.0586,0.3843
0.996,-0.0672,0.4727
1.2789,-0.0691,0.1637
1.3955,-0.1937,-0.3799
1.5362,-0.191,-0.5563
1.9564,-0.267,-0.1331
2.2987,-0.2834,0.4608
1.3373,-0.2981,0.4708
1.19,-0.0989,0.4996
1.19,-0.0327,0.5182
1.2086,-0.0623,0.1678
1.0425,-0.0457,-0.086
0.8724,0.0227,-0.0122
0.6853,0.0804,0.1947
0.5915,0.1021,0.2125
0.4911,0.0034,0.0611
0.4068,-0.1847,0.0222
0.4827,-0.2643,0.2108
0.4981,-0.2602,0.352
0.5257,-0.2216,0.2966
0.6078,-0.0931,0.0022
0.6836,0.0122,-0.0862
0.7691,-0.0029,0.2744
0.8778,-0.1092,0.4962
0.9579,-0.2411,0.2238
1.0632,-0.3083,-0.1375
1.3139,-0.1493,-0.1691
1.5452,0.0142,-0.1327
1.8494,0.1686,0.0699
2.0165,0.0792,0.1771
1.7228,-0.1182,0.2091
1.6542,-0.1634,0.3149
1.4842,-0.1378,0.2492
1.3549,-0.1138,0.3623
1.1172,-0.0735,0.2103
0.9381,-0.032,0.042
0.7356,-0.0034,0.0518
0.602,0.011,0.1226
0.4942,-0.0027,0.1737
0.4192,-0.0452,0.1991
0.3711,-0.0958,0.1901
0.3552,-0.1229,0.1175
0.4808,-0.0706,0.1014
0.5673,-0.0217,0.1248
0.6657,0.0413,0.1021
0.76,0.1371,0.1852
0.838,0.235,0.1813
0.7635,0.2047,0.0406
0.7554,0.0872,0.1485
1.0107,-0.0159,0.4161
1.3796,-0.12,0.1945
1.5521,-0.3193,-0.2328
1.7453,-0.2822,-0.1568
1.7507,-0.4273,0.3147
1.8538,-0.4339,0.6953
1.4419,-0.1395,0.4806
1.3456,-0.0032,0.2824
1.5286,-0.0787,0.5262
1.4903,-0.268,0.3516
1.2108,-0.2695,0.1471
0.9052,-0.1466,0.0669
0.655,-0.0413,0.1151
0.4395,-0.0159,0.1737
0.3186,-0.0484,0.1957
0.2731,-0.1652,0.1967
0.3902,-0.2834,0.1336
0.6337,-0.2414,0.1124
0.7246,-0.2358,0.1415
0.8025,-0.2631,0.2634
0.8695,-0.3232,0.3452
0.9198,-0.32,0.398
0.8311,-0.2333,0.3406
0.9225,-0.116,0.5045
1.0341,-0.1351,0.5646
1.0776,-0.1407,0.7107
1.0197,-0.1566,0.4422
1.0212,-0.3098,0.2951
1.17,-0.5218,0.1925
1.3764,-0.6183,0.1075
1.5135,-0.3445,-0.0823
1.3447,-0.138,-0.5453
1.7421,-0.194,-0.7747
2.3837,-0.1761,-0.2758
1.4729,-0.5558,0.0933
0.9408,-0.6135,0.2656
0.763,-0.4639,0.2272
0.9093,-0.4185,-0.0706
0.9425,-0.4527,-0.2692
0.9342,-0.4175,-0.2966
0.9504,-0.234,-0.2155
0.9963,0.0557,-0.235
0.9157,0.1845,-0.2941
0.7078,0.0442,-0.1363
0.8541,-0.1197,-0.0166
0.9618,-0.2201,0.0699
0.9677,-0.2047,0.0354
1.1111,0.0823,-0.0452
1.1717,0.4312,-0.0718
1.2799,0.7505,0.0533
1.0156,0.6753,0.2147
0.7493,0.2739,0.1542
0.6684,-0.054,0.2169
0.5937,-0.3862,0.4835
0.5988,-0.6623,0.7285
0.7424,-0.655,0.6325
0.9401,-0.4165,0.3745
1.031,-0.3528,0.6064
1.1783,-0.3684,0.7818
1.1492,-0.3701,0.4393
1.2447,-0.2436,0.0792
1.2618,-0.195,0.5204
1.0415,-0.2433,0.9699
1.105,-0.3086,0.3604
1.4397,-0.3987,-0.375
1.897,-0.159,-0.5656
1.4482,-0.3596,-0.3972
0.8419,-0.8109,0.5944
0.6122,-0.8255,0.4937
0.6806,-0.526,0.0249
0.9816,-0.2253,-0.042
1.0214,-0.2231,-0.052
0.9281,-0.2988,0.2108
0.8411,-0.3034,0.506
0.8248,-0.2883,0.4246
0.8763,-0.2817,0.1405
0.9726,-0.247,-0.0156
0.996,-0.1986,-0.0066
0.9227,-0.1884,0.0682
0.825,-0.1776,0.1578
0.7732,-0.1202,0.1935
0.8372,-0.0733,0.2064
0.8629,-0.1004,0.1576
0.8783,-0.1781,0.0985
0.8113,-0.1969,0.0833
0.6135,-0.1248,0.1002
0.548,-0.0274,0.183
0.623,0.0533,0.2055
0.6994,0.0669,0.0767
0.7075,0.0523,0.0034
0.7713,0.0056,0.3012
0.7996,-0.0889,0.686
0.7832,-0.1371,0.5194
0.8001,-0.1209,0.2807
0.8091,-0.1608,0.5079
0.7346,-0.2863,0.7097
0.6462,-0.2099,0.5719
0.6105,-0.022,0.1776
0.5783,-0.0034,-0.2902
0.8199,-0.1314,-0.6633
1.1617,-0.3638,-0.6797
1.5132,-0.5436,-0.7593
2.1374,-0.6687,-0.7476
3.3959,-0.2734,0.2274
3.0553,0.4009,0.8578
1.4854,0.0222,0.4371
1.3329,-0.1051,0.2897
1.2452,-0.246,0.2213
1.0239,-0.2797,0.5907
0.7918,-0.3494,0.6242
0.6059,-0.429,0.5108
0.2687,-0.4275,0.2631
-0.1466,-0.323,0.0044
-0.2915,-0.0867,-0.0938
-0.0369,0.1854,0.1307
0.4793,0.2509,0.2641
0.5006,0.1732,0.1825
0.5157,0.0501,0.1488
0.5707,0.0103,0.1434
0.6291,0.0078,0.2741
0.5749,-0.0853,0.5204
0.6779,-0.1698,0.4214
0.8585,-0.1397,0.1378
0.9572,-0.2086,-0.3369
1.2225,-0.4207,-0.816
1.9373,-0.5673,-0.8433
3.2532,-0.8231,-0.1351
2.6967,-0.3931,1.3808
0.9946,-0.5113,1.1971
1.3195,-0.3743,0.5502
1.5687,-0.2416,-0.0083
1.4216,-0.1258,-0.2441
1.139,-0.0743,-0.066
0.8492,-0.0528,0.2548
0.6332,-0.0188,0.3767
0.5428,0.0112,0.2287
0.4405,0.055,0.009
0.3354,0.0911,-0.1622
0.1781,0.0752,-0.1593
-0.0344,-0.0481,0.0418
0.1336,-0.1209,0.2678
0.545,-0.1011,0.2316
0.7131,-0.1075,0.1185
0.8253,-0.1197,0.0884
0.9225,-0.1561,0.2338
0.7898,-0.2111,0.0496
0.8824,-0.1297,-0.2595
1.1412,-0.1031,-0.4051
1.8247,-0.1637,-0.2328
2.681,-0.1703,0.3816
3.4073,0.0193,0.8959
2.0209,-0.1134,0.0291
1.3163,-0.2209,-0.0046
1.0483,-0.2253,0.3242
0.8893,-0.1219,0.474
0.8157,-0.0689,0.385
0.7026,-0.0877,0.226
0.5287,-0.0865,0.1224
0.2829,-0.1287,0.0916
0.0313,-0.2086,0.1468
-0.2651,-0.311,0.2509
0.0589,-0.1554,0.3936
0.5299,0.0748,0.1832
0.6034,0.1175,-0.1578
0.7153,0.1779,-0.1688
0.8106,0.1691,0.1031
0.8868,0.0691,0.1366
1.0092,-0.1041,-0.3061
1.3024,-0.3127,-0.5736
1.7749,-0.4117,-0.4053
2.7265,-0.5406,0.1559
2.8298,-0.1273,0.954
1.296,-0.3347,1.0784
1.3495,-0.2514,0.9687
1.4126,-0.119,0.1346
1.3351,-0.0022,-0.3938
1.0339,0.0122,-0.3042
0.7576,-0.0161,0.1173
0.624,-0.073,0.4239
0.6076,-0.1241,0.3596
0.6645,-0.1014,0.1148
0.5035,-0.0489,-0.0498
0.28,-0.0237,-0.1204
0.0154,-0.0501,-0.0186
0.1559,-0.1029,0.1073
0.5814,-0.0564,0.2011
0.7095,-0.0738,0.2243
0.8074,-0.0691,0.331
0.8429,-0.1029,0.2042
0.8595,-0.1556,-0.1793
1.0141,-0.1893,-0.4156
1.4285,-0.2028,-0.2827
2.0649,-0.1368,0.0865
2.9353,-0.0362,0.6787
3.0707,0.2177,0.8524
1.6625,-0.2116,-0.0386
1.0706,-0.2128,-0.0498
0.7505,-0.1791,0.2079
0.5797,-0.15,0.3884
0.4847,-0.127,0.4483
