accx,accy,accz
0.8233,-0.1102,0.2101
0.7552,-0.0437,0.1793
0.7056,-0.0061,0.162
0.6938,-0.0222,0.2035
0.74,-0.0247,0.2304
0.75,-0.0198,0.1314
0.7097,0.0086,0.1143
0.7102,0.0198,0.2531
0.771,0.0066,0.3911
0.9005,-0.063,0.322
1.0556,-0.1383,0.1087
1.3539,-0.1881,-0.1224
1.5531,-0.1502,-0.3628
1.5579,-0.0496,-0.3828
1.1492,-0.0716,0.0044
1.0928,-0.2296,0.3007
1.415,-0.4332,0.4537
1.643,-0.5035,0.385
1.2494,-0.206,0.1918
0.964,-0.0814,0.2189
0.783,-0.0557,0.2748
0.8883,-0.1116,0.3154
0.9721,-0.1415,0.2377
0.9499,-0.1121,0.1678
0.9225,-0.0704,0.1173
0.8639,-0.0408,0.086
0.7757,-0.034,0.095
0.6799,-0.0484,0.1649
0.5578,-0.1192,0.2529
0.495,-0.2243,0.3125
0.5534,-0.2844,0.3476
0.6359,-0.2492,0.3689
0.6411,-0.1331,0.3872
0.6281,-0.0779,0.3552
0.6574,-0.116,0.3542
0.7713,-0.1368,0.3457
0.9824,-0.0623,0.2204
1.3263,0.0249,-0.0787
1.641,-0.0665,-0.3809
1.729,-0.2011,-0.3191
1.4573,-0.3098,-0.0147
1.3659,-0.1395,0.2091
1.4805,0.0535,0.513
1.3351,-0.0958,0.43
1.1526,-0.1336,0.4942
1.1348,-0.0542,0.2301
1.1199,0.0139,0.2543
1.0586,-0.0044,0.45
0.9528,-0.0748,0.3875
0.8245,-0.1046,0.2648
0.7016,-0.1011,0.2248
0.6281,-0.0975,0.259
0.6069,-0.0892,0.2834
0.6897,-0.0491,0.2211
0.7449,0.0071,0.2165
0.742,0.0325,0.2165
0.719,0.0479,0.2487
0.7012,0.0535,0.2602
0.7263,0.0322,0.2108
0.7715,-0.0005,0.205
0.8363,0.0161,0.2651
0.8451,0.055,0.2932
0.8021,0.0782,0.2531
0.7683,0.0662,0.3706
0.6679,-0.0862,0.5602
1.0486,-0.2042,0.2414
1.4771,-0.1923,-0.1351
1.7067,-0.1021,-0.3669
1.6933,-0.0833,-0.1309
1.6478,-0.1451,0.3049
1.6171,-0.2455,0.4205
1.5939,-0.3178,0.2318
1.2643,-0.1363,0.0706
1.0249,0.0144,0.161
0.9193,0.0017,0.3156
0.8155,-0.1136,0.2985
0.8016,-0.2301,0.2333
0.8302,-0.2631,0.1805
0.8204,-0.2069,0.1229
0.8512,-0.1138,0.0594
0.8863,-0.0818,0.0476
0.9149,-0.1361,0.1156
1.0039,-0.1976,0.1444
1.018,-0.1781,0.1195
0.9987,-0.1468,0.1517
0.9504,-0.1888,0.2875
0.9198,-0.2621,0.3169
0.9259,-0.3152,0.2536
0.902,-0.3415,0.2216
0.8966,-0.3608,0.2123
0.9308,-0.3367,0.2641
0.9606,-0.2438,0.2604
0.9169,-0.1473,0.2145
0.8426,-0.1131,0.1603
0.8705,-0.1495,0.1681
0.9865,-0.1847,-0.0103
1.2342,-0.2697,-0.171
1.4898,-0.3635,-0.2849
1.275,-0.1867,-0.2538
1.1387,0.0743,-0.1236
0.8541,0.0777,-0.0374
0.7705,-0.0589,0.183
1.1409,-0.2472,0.247
1.3356,-0.2792,0.0564
1.2601,-0.2113,-0.0105
1.0723,-0.2081,0.1285
0.933,-0.2382,0.1786
0.9171,-0.1903,0.2099
0.9574,-0.1004,0.1825
0.8925,-0.0794,0.0806
0.8775,-0.0882,0.0687
0.8656,-0.1671,0.1138
0.9506,-0.161,0.1649
0.9865,-0.1309,0.1331
0.9174,-0.1138,0.1818
0.8688,-0.087,0.2492
0.8267,-0.1363,0.2954
0.784,-0.2196,0.288
0.675,-0.2946,0.2702
0.653,-0.3464,0.309
0.8421,-0.2883,0.2907
1.0205,-0.2064,0.1112
1.1482,-0.0848,-0.054
1.2208,0.0547,-0.0068
1.0706,0.141,0.16
0.858,0.13,0.2475
0.6904,0.0476,0.2951
0.6391,-0.0393,0.215
0.708,-0.2194,-0.2812
1.1402,-0.2013,-0.718
1.9503,-0.1246,-0.4759
2.4372,-0.1727,0.245
1.458,-0.3247,0.1075
0.9171,-0.4258,-0.042
0.5394,-0.4696,0.0557
0.717,-0.3909,0.2189
1.0398,-0.3183,-0.0288
1.1094,-0.2042,-0.2262
0.9933,-0.0667,-0.052
0.8617,-0.0611,0.2047
0.7947,-0.1625,0.1952
0.8898,-0.2741,0.1124
0.9929,-0.3831,0.162
1.0156,-0.4229,0.1991
0.9628,-0.3716,0.1805
0.8744,-0.2543,0.1116
0.8573,-0.1818,0.1852
0.9078,-0.2333,0.1994
0.9533,-0.2431,0.1588
0.9201,-0.2411,0.1275
0.9049,-0.1849,0.161
0.8851,-0.1283,0.2333
0.8793,-0.1459,0.2472
0.9193,-0.2018,0.1471
0.9313,-0.2084,0.1202
0.8903,-0.1925,0.2042
0.8394,-0.1705,0.268
0.8111,-0.1759,0.2792
0.8272,-0.2209,0.2939
0.8771,-0.2499,0.3134
0.89,-0.2573,0.3188
0.8067,-0.2467,0.2917
0.7183,-0.2272,0.2509
0.7835,-0.1994,0.2675
0.8851,-0.1669,0.3481
0.793,-0.1236,0.291
0.6193,-0.0772,0.1827
0.5126,-0.0508,0.1405
0.4715,-0.0098,0.2274
0.6176,-0.0415,0.2812
0.7486,-0.1085,0.2546
0.8917,-0.1959,0.3894
0.997,-0.2778,0.4994
0.9367,-0.3186,0.4969
0.7913,-0.2919,0.5064
0.8135,-0.2074,0.504
1.0051,-0.2424,0.312
1.2682,-0.333,-0.0032
1.5914,-0.3029,-0.1818
1.8416,-0.183,-0.2502
1.9005,0.041,-0.2311
1.5797,0.1781,-0.0445
1.2604,0.1043,0.2152
1.1441,0.0462,0.3369
1.0405,-0.1075,0.2443
1.0574,-0.2284,0.2228
1.1844,-0.2704,0.2138
1.2237,-0.2406,0.1437
1.0825,-0.2099,0.1532
0.8822,-0.1969,0.2133
0.7224,-0.1808,0.2428
0.5766,-0.1498,0.2604
0.5656,-0.1024,0.2919
0.6582,-0.0474,0.2553
0.7046,-0.0286,0.2177
0.7583,-0.0342,0.2201
0.7461,-0.0303,0.2507
0.6271,-0.0178,0.2682
0.4925,-0.0166,0.2836
0.4569,-0.0374,0.3051
0.5639,-0.0325,0.3086
0.6364,-0.0354,0.2392
0.6525,-0.0423,0.1517
0.8201,-0.0261,0.2641
1.0608,-0.0002,0.4226
1.136,-0.0183,0.3474
0.9254,-0.1559,0.1622
1.0278,-0.1732,0.0755
1.4509,-0.0816,0.0862
1.7065,-0.0581,-0.1407
1.7319,-0.1649,-0.2436
1.5689,-0.3393,0.0704
1.3588,-0.3032,0.3782
1.0935,-0.1832,0.5619
0.8829,-0.1867,0.5673
0.8788,-0.2868,0.387
1.0322,-0.3003,0.2399
1.1873,-0.2966,0.2636
1.18,-0.2209,0.2438
0.9955,-0.1097,0.1798
0.76,-0.055,0.1573
0.5651,-0.0503,0.1932
0.4881,-0.074,0.194
0.5436,-0.088,0.16
0.7021,-0.0982,0.1561
0.7693,-0.1324,0.2118
0.8292,-0.1669,0.2248
0.7432,-0.1537,0.1998
0.613,-0.1009,0.205
0.5372,-0.0796,0.3071
0.4996,-0.1327,0.3638
0.4857,-0.1705,0.3142
0.7647,-0.1766,0.3191
1.1563,-0.2042,0.2118
1.5257,-0.2663,-0.0696
1.7446,-0.3034,-0.2008
1.8044,-0.2424,-0.2057
1.7338,-0.0095,0.0129
1.5931,0.1278,0.3059
1.4595,-0.033,0.3743
1.3149,-0.2289,0.3582
1.1365,-0.2221,0.3215
1.073,-0.1507,0.2482
1.0974,-0.0804,0.3804
1.0329,-0.0418,0.3914
0.8929,-0.0545,0.2875
0.6584,-0.0711,0.2362
0.4754,-0.0945,0.2546
0.4136,-0.1512,0.2756
0.4239,-0.191,0.2758
0.7209,-0.1251,0.2634
0.8463,-0.0572,0.2226
0.8177,0.0032,0.225
0.6721,0.0252,0.202
0.5651,0.0476,0.2172
0.5621,0.0586,0.2426
0.6506,0.0024,0.2182
0.7234,-0.0022,0.2548
