accx,accy,accz
0.695,-0.0739,0.2556
0.6984,-0.0675,0.2522
0.7053,-0.0626,0.2439
0.7146,-0.0518,0.2376
0.7219,-0.0435,0.2381
0.7282,-0.0377,0.2298
0.7341,-0.024,0.2322
0.7468,-0.0142,0.2322
0.76,-0.002,0.2234
0.7678,0.0019,0.2195
0.782,0.0146,0.2195
0.7942,0.0219,0.2151
0.805,0.0283,0.2092
0.8162,0.0405,0.2112
0.825,0.0419,0.2092
0.8362,0.0473,0.2033
0.8465,0.0547,0.2014
0.8553,0.0586,0.2024
0.8665,0.064,0.2004
0.8753,0.0713,0.2038
0.8866,0.0752,0.2028
0.9046,0.0781,0.2014
0.9188,0.0762,0.1989
0.9227,0.0801,0.1984
0.9344,0.0869,0.1945
0.9388,0.0864,0.1862
0.9491,0.0918,0.1843
0.9544,0.0986,0.176
0.9613,0.0991,0.1687
0.9643,0.0996,0.1662
0.9701,0.1021,0.1516
0.9755,0.1011,0.1452
0.9784,0.1079,0.1413
0.9794,0.1099,0.1384
0.9789,0.1084,0.1315
0.9843,0.1118,0.1257
0.9872,0.1069,0.1179
0.9828,0.1074,0.1188
0.9823,0.1109,0.1154
0.9814,0.104,0.113
0.9858,0.1011,0.1086
0.9809,0.1011,0.1096
0.975,0.0962,0.1115
0.9716,0.0947,0.1096
0.9701,0.0977,0.1115
0.9628,0.0942,0.111
0.9609,0.0938,0.1135
0.9505,0.0913,0.1145
0.9457,0.0845,0.1149
0.9427,0.0811,0.1135
0.9369,0.0767,0.1193
0.931,0.0728,0.1242
0.9276,0.0659,0.1267
0.9227,0.063,0.1262
0.9178,0.0591,0.132
0.9198,0.0562,0.1345
0.9247,0.0547,0.1398
0.9305,0.0512,0.1472
0.9398,0.0493,0.1535
0.951,0.04,0.1584
0.9584,0.039,0.1633
0.9721,0.0361,0.1638
0.9862,0.0351,0.1648
1.0053,0.0366,0.1711
1.0238,0.0292,0.1691
1.0527,0.0268,0.1716
1.0771,0.0288,0.1691
1.0942,0.0209,0.1721
1.1167,0.0156,0.1726
1.1382,0.0131,0.1745
1.1606,0.0053,0.176
1.1773,-0.0045,0.177
1.1959,-0.0098,0.1804
1.2183,-0.0181,0.1789
1.2354,-0.0235,0.1784
1.2506,-0.0377,0.177
1.2662,-0.0435,0.1843
1.2819,-0.0568,0.1926
1.2941,-0.0675,0.1901
1.3048,-0.0787,0.197
1.3107,-0.0856,0.2117
1.3214,-0.0973,0.2176
1.3263,-0.109,0.2293
1.3302,-0.1173,0.2459
1.3331,-0.1281,0.2615
1.3385,-0.1329,0.2727
1.3361,-0.1359,0.2845
1.3273,-0.1369,0.3045
1.3244,-0.1373,0.3167
1.3214,-0.1344,0.325
1.3185,-0.1286,0.3377
1.3195,-0.1173,0.35
1.3283,-0.1041,0.3602
1.3375,-0.0905,0.3695
1.3414,-0.0758,0.3719
1.3473,-0.0631,0.3749
1.3532,-0.0523,0.3709
1.359,-0.044,0.3656
1.36,-0.0386,0.3543
1.3639,-0.0303,0.3397
1.3703,-0.0186,0.329
1.3717,-0.0152,0.3103
1.3727,-0.0035,0.2864
1.3747,0.0102,0.263
1.3717,0.0273,0.2464
1.3644,0.0473,0.2234
1.3668,0.0669,0.1945
1.3707,0.0903,0.1613
1.3717,0.1069,0.1345
1.3781,0.124,0.0978
1.3825,0.1353,0.048
1.3889,0.1392,0.0118
1.3986,0.1367,-0.0312
1.405,0.1245,-0.0693
1.4123,0.1148,-0.1099
1.4177,0.1001,-0.1514
1.4187,0.0772,-0.1948
1.4216,0.0615,-0.2242
1.4182,0.0385,-0.2491
1.4108,0.019,-0.2672
1.4011,0.0024,-0.2799
1.3874,-0.0157,-0.2887
1.3693,-0.0255,-0.2965
1.3527,-0.0347,-0.3009
1.3287,-0.0372,-0.3072
1.3107,-0.0333,-0.3087
1.2819,-0.0352,-0.3082
1.2593,-0.0338,-0.3126
1.2369,-0.0259,-0.3175
1.2047,-0.0186,-0.3155
1.1754,-0.0069,-0.3126
1.1416,-0.001,-0.3116
1.1103,0.0121,-0.3072
1.084,0.0292,-0.3082
1.0478,0.0424,-0.3023
1.0102,0.0606,-0.297
0.9721,0.0776,-0.294
0.9305,0.0938,-0.2926
0.8885,0.1099,-0.2921
0.8421,0.1275,-0.2906
0.7976,0.1524,-0.2882
0.7576,0.1773,-0.2818
0.7204,0.2076,-0.2774
0.6872,0.233,-0.2725
0.6603,0.2608,-0.2628
0.6389,0.2873,-0.253
0.6173,0.3219,-0.2227
0.6105,0.3625,-0.2154
0.6095,0.3904,-0.2174
0.61,0.4114,-0.2129
0.6241,0.4382,-0.2071
0.6408,0.4597,-0.2061
0.6608,0.4748,-0.2002
0.6867,0.4959,-0.1968
0.715,0.5081,-0.1944
0.7498,0.5135,-0.1875
0.7903,0.5179,-0.1773
0.8181,0.5193,-0.1704
0.8538,0.5145,-0.1651
0.8851,0.5066,-0.1563
0.9095,0.4964,-0.146
0.9173,0.4656,-0.1377
0.8968,0.4324,-0.1333
0.8675,0.4065,-0.1211
0.8469,0.386,-0.1074
0.8269,0.3625,-0.0859
0.8172,0.3385,-0.0649
0.8157,0.3117,-0.0405
0.822,0.2877,-0.0087
0.8294,0.2584,0.0197
0.8421,0.2325,0.0499
0.8573,0.1964,0.0822
0.8705,0.1676,0.1135
0.8851,0.1445,0.1384
0.9027,0.1133,0.1604
0.9134,0.0913,0.1804
0.9276,0.0547,0.1999
0.9476,0.018,0.2136
0.9599,-0.0132,0.2268
0.976,-0.0411,0.2332
0.9911,-0.0675,0.2356
