accx,accy,accz
1.3757,-0.0826,-0.1972
1.3178,-0.0674,-0.1928
1.2592,-0.054,-0.183
1.2015,-0.0437,-0.1686
1.1473,-0.0366,-0.148
1.0938,-0.0308,-0.1236
1.0437,-0.0274,-0.0977
0.9987,-0.0237,-0.0711
0.9643,-0.0171,-0.0415
0.9308,-0.0203,-0.0132
0.8956,-0.0325,0.0103
0.8646,-0.0447,0.0325
0.8431,-0.053,0.0542
0.8177,-0.063,0.0728
0.7876,-0.0765,0.0921
0.7564,-0.0892,0.1126
0.7266,-0.1011,0.1297
0.6968,-0.1138,0.1422
0.666,-0.1266,0.1524
0.6362,-0.1388,0.1608
0.6093,-0.1498,0.1678
0.5854,-0.1595,0.1747
0.5636,-0.1673,0.1818
0.5443,-0.1742,0.1876
0.5284,-0.1783,0.1918
0.5179,-0.1801,0.1947
0.5111,-0.1818,0.1964
0.502,-0.1854,0.1974
0.4962,-0.1874,0.1967
0.5011,-0.1813,0.1898
0.5196,-0.1676,0.1776
0.5519,-0.1505,0.1654
0.5937,-0.1319,0.1544
0.6401,-0.1121,0.1432
0.6863,-0.0916,0.1309
0.7307,-0.0716,0.1182
0.7723,-0.0515,0.1063
0.8111,-0.032,0.0926
0.8482,-0.0132,0.077
0.8819,0.0056,0.0628
0.913,0.0235,0.0498
0.9423,0.0396,0.0374
0.9687,0.0557,0.0257
0.9921,0.0706,0.0142
1.0131,0.0848,0.0039
1.0317,0.0994,-0.0039
1.0464,0.1116,-0.0105
1.0571,0.1222,-0.0173
1.0659,0.1361,-0.0213
1.0747,0.1512,-0.0222
1.0847,0.1661,-0.0208
1.0938,0.1801,-0.0169
1.1001,0.1925,-0.0112
1.104,0.2035,-0.0049
1.1057,0.2128,0.0032
1.1062,0.2228,0.0127
1.1052,0.2333,0.023
1.1033,0.2448,0.034
1.0979,0.2524,0.045
1.0886,0.2587,0.055
1.0764,0.2641,0.0647
1.0598,0.2665,0.0728
1.0383,0.266,0.0796
1.0134,0.2634,0.086
