accx,accy,accz
0.9831,-0.0906,0.2257
0.9809,-0.0916,0.224
0.978,-0.0899,0.2253
0.9811,-0.0882,0.2243
0.9814,-0.088,0.2209
0.9809,-0.0884,0.2221
0.9833,-0.0904,0.2243
0.9863,-0.0877,0.2279
0.987,-0.0894,0.2277
0.9882,-0.0916,0.2284
0.9885,-0.0901,0.2287
0.9887,-0.0889,0.2262
0.9863,-0.0909,0.2262
0.9836,-0.0899,0.2238
0.9794,-0.0897,0.2272
0.9799,-0.0901,0.2279
0.9821,-0.0894,0.2311
0.9799,-0.0919,0.2328
0.9831,-0.0919,0.2328
0.9853,-0.0916,0.2311
0.9836,-0.0904,0.2304
0.9855,-0.0906,0.2284
0.9828,-0.0906,0.2257
0.9833,-0.0882,0.2262
0.9814,-0.0882,0.2231
0.9797,-0.0867,0.2231
0.9789,-0.0882,0.2231
0.9792,-0.085,0.2226
0.9799,-0.088,0.2245
0.9777,-0.0894,0.225
0.9797,-0.0875,0.2272
0.9809,-0.088,0.2262
0.9794,-0.0884,0.225
0.9799,-0.0901,0.2253
0.9814,-0.0894,0.2223
0.9821,-0.0892,0.224
0.9826,-0.0906,0.2211
0.9841,-0.0904,0.2226
0.9858,-0.0911,0.2199
0.9853,-0.0931,0.2218
0.9865,-0.0911,0.2223
0.9877,-0.0928,0.2209
0.9853,-0.0919,0.2233
0.9846,-0.0916,0.2245
0.9841,-0.0926,0.2231
0.9836,-0.0894,0.2257
0.9838,-0.0889,0.2228
0.9848,-0.0904,0.2245
0.9838,-0.0911,0.2243
0.9833,-0.0894,0.225
0.9843,-0.0901,0.2245
0.9846,-0.0884,0.225
0.9838,-0.0875,0.2257
0.9865,-0.0882,0.2257
0.9855,-0.0877,0.2245
0.986,-0.0884,0.2226
0.9855,-0.0877,0.2223
0.9846,-0.0884,0.2231
0.9826,-0.0887,0.2213
0.9804,-0.0892,0.2253
0.9787,-0.087,0.2245
0.977,-0.0887,0.2272
0.9797,-0.0892,0.2277
0.9794,-0.0882,0.2289
0.9811,-0.0884,0.2292
0.9806,-0.0884,0.2289
0.9816,-0.088,0.2284
0.9809,-0.0882,0.2289
0.9841,-0.088,0.2243
0.9831,-0.0865,0.2255
0.9826,-0.0884,0.225
0.9821,-0.088,0.2223
0.9824,-0.0889,0.2238
0.9814,-0.088,0.2228
0.9819,-0.0858,0.225
0.9824,-0.0887,0.2233
0.9804,-0.0901,0.2265
0.9816,-0.0906,0.2274
0.9821,-0.0897,0.2274
0.9819,-0.0906,0.2272
0.9828,-0.0919,0.225
0.9831,-0.0901,0.2262
0.9838,-0.0921,0.226
0.9841,-0.0921,0.2253
0.9855,-0.0931,0.2248
0.9868,-0.0923,0.2233
0.9853,-0.0899,0.2233
0.987,-0.0911,0.2231
0.9858,-0.0901,0.224
0.9838,-0.0914,0.2218
0.9838,-0.0928,0.2196
0.9809,-0.0899,0.2216
0.9802,-0.0906,0.2216
0.9819,-0.0897,0.2245
0.9802,-0.0887,0.2235
0.9799,-0.0897,0.2255
0.9811,-0.087,0.2262
0.9821,-0.0872,0.2255
0.9824,-0.088,0.2272
0.9833,-0.088,0.225
0.9843,-0.0875,0.225
0.9846,-0.0865,0.2274
0.9853,-0.0855,0.225
0.9872,-0.0877,0.2243
0.9868,-0.0899,0.2231
0.9846,-0.0884,0.2243
0.9848,-0.088,0.2238
0.985,-0.0884,0.2257
0.9828,-0.0887,0.224
0.9824,-0.0892,0.2228
0.9826,-0.0884,0.2235
0.9794,-0.0884,0.224
0.9797,-0.0889,0.2245
0.9797,-0.0897,0.2213
0.9809,-0.0884,0.2221
0.9819,-0.087,0.2245
0.9824,-0.0862,0.2245
0.9826,-0.087,0.2245
0.9836,-0.0872,0.2248
0.9853,-0.0906,0.2226
0.9872,-0.086,0.2238
0.9855,-0.0887,0.2231
0.9868,-0.0882,0.2248
0.9853,-0.0884,0.224
0.986,-0.0882,0.2262
0.9855,-0.0877,0.2248
0.9846,-0.0889,0.2253
0.9831,-0.0884,0.2245
0.9831,-0.0901,0.2253
0.9814,-0.0884,0.2274
0.9826,-0.0906,0.2265
0.9826,-0.0906,0.2245
0.9836,-0.0904,0.2255
0.9846,-0.0906,0.2231
0.9836,-0.0909,0.2213
0.9824,-0.0914,0.2231
0.9787,-0.0906,0.2235
0.977,-0.0894,0.224
0.9765,-0.0867,0.2262
0.9775,-0.086,0.2245
0.9792,-0.0865,0.2243
0.9799,-0.0853,0.2245
0.9843,-0.0875,0.2272
0.9865,-0.0867,0.2289
0.9887,-0.0889,0.2284
0.989,-0.0884,0.2296
0.9897,-0.0887,0.2277
0.989,-0.0894,0.2253
0.9858,-0.0897,0.2228
0.9853,-0.0911,0.2221
0.9833,-0.0914,0.2245
0.9802,-0.0894,0.225
0.9821,-0.0923,0.2253
0.9826,-0.0941,0.2274
0.9841,-0.0938,0.2253
0.9855,-0.0933,0.2233
0.9836,-0.0919,0.2218
0.9833,-0.0892,0.2216
0.9833,-0.0901,0.2204
0.9824,-0.0889,0.2187
0.9821,-0.0875,0.2213
0.9794,-0.0882,0.2233
0.9799,-0.0875,0.2231
0.9816,-0.087,0.2233
0.9797,-0.0855,0.224
0.9806,-0.087,0.2262
