accx,accy,accz
0.9933,-0.0672,0.3848
0.9591,-0.0601,0.3056
0.9271,-0.0547,0.225
0.9193,-0.0454,0.1422
0.9403,-0.0318,0.0848
0.9526,-0.0232,0.0459
0.9411,-0.0147,0.0186
0.913,-0.009,0.0044
0.8597,-0.0044,-0.0012
0.8082,-0.0059,0.0029
0.7556,-0.011,0.0156
0.6975,-0.0137,0.0332
0.6398,-0.0203,0.0606
0.5827,-0.0249,0.0877
0.525,-0.0303,0.116
0.4762,-0.0401,0.1405
0.4046,-0.0542,0.1774
0.356,-0.074,0.2018
0.3122,-0.0955,0.2248
0.2897,-0.1182,0.2463
0.2653,-0.1383,0.2643
0.2577,-0.1647,0.2778
0.2717,-0.1776,0.2937
0.3601,-0.1622,0.3115
0.5174,-0.1109,0.3396
0.6765,-0.0506,0.3489
0.7388,-0.0274,0.3323
0.7503,-0.0213,0.2941
0.7217,-0.0247,0.2409
0.6699,-0.0293,0.1683
0.6442,-0.0239,0.116
0.6386,-0.0129,0.0748
0.6508,0.002,0.0396
0.6706,0.0208,0.0086
0.6911,0.0386,-0.0239
0.7041,0.0523,-0.0435
0.71,0.0591,-0.0486
0.7146,0.0667,-0.0374
0.7207,0.0738,0.0022
0.7219,0.0784,0.0613
0.7322,0.0772,0.1329
0.7402,0.0792,0.2113
0.7432,0.0784,0.2968
0.7439,0.0696,0.3518
0.7285,0.0606,0.3875
0.7124,0.0528,0.3968
0.6999,0.0447,0.3772
0.6858,0.0349,0.3186
0.675,0.0237,0.2531
0.6721,0.0151,0.1766
0.6574,0.0046,0.1053
0.6626,-0.0046,0.0384
0.6843,-0.002,0.0
0.7051,-0.0051,-0.011
0.7412,0.0024,0.0024
0.7847,0.0059,0.0511
0.8214,0.0037,0.1143
0.8377,-0.0061,0.1884
0.8539,-0.0186,0.256
0.8597,-0.0381,0.3181
0.8582,-0.0586,0.3843
0.8631,-0.0674,0.4305
0.8903,-0.0735,0.4656
0.932,-0.0765,0.4825
0.996,-0.0672,0.4727
1.0598,-0.0603,0.4461
1.1324,-0.0542,0.3882
1.2091,-0.0562,0.3032
1.2789,-0.0691,0.1637
1.3566,-0.0936,0.0315
1.3925,-0.1226,-0.1031
1.3786,-0.1634,-0.2504
1.3955,-0.1937,-0.3799
1.4255,-0.225,-0.5145
1.4632,-0.235,-0.5739
1.5042,-0.225,-0.5912
1.5362,-0.191,-0.5563
1.621,-0.1964,-0.4915
1.7055,-0.2123,-0.3977
1.8186,-0.2377,-0.2753
1.9564,-0.267,-0.1331
2.0935,-0.2893,0.0095
2.2396,-0.3025,0.1793
2.3226,-0.302,0.3152
2.2987,-0.2834,0.4608
2.0431,-0.2839,0.5729
1.6796,-0.3274,0.5741
1.4715,-0.3337,0.5253
1.3373,-0.2981,0.4708
1.2589,-0.2426,0.4461
1.2193,-0.1898,0.449
1.1964,-0.1317,0.4688
