accx,accy,accz
1.169,0.1338,-0.2892
1.1211,0.1001,-0.1104
1.0405,0.0542,-0.061
0.9032,0.0029,-0.127
0.7429,-0.0406,-0.1553
0.6095,-0.0494,-0.081
0.4747,-0.0508,0.0138
0.4322,-0.0347,0.087
0.5988,-0.0162,0.0524
0.7937,0.0068,-0.0581
0.9858,0.0253,-0.1406
1.1719,0.0151,-0.1436
1.3195,-0.0059,-0.0766
1.384,-0.0318,-0.0336
1.382,-0.0817,-0.0058
1.3419,-0.0934,0.0055
1.1895,-0.0695,-0.0273
1.0703,-0.0235,-0.1382
0.9525,-0.0729,-0.2476
1.059,-0.3406,-0.4255
1.4548,-0.2395,-0.294
1.6977,0.1255,-0.3815
1.5301,0.3341,-0.5887
1.1533,0.4661,-0.661
0.739,0.3463,-0.4675
0.6324,0.2013,-0.0854
0.6745,0.019,0.1174
0.6799,0.0146,-0.0019
0.8744,0.061,-0.0844
1.0698,0.0855,-0.0986
1.1768,0.1206,-0.1187
1.2007,0.1172,-0.1489
1.0923,0.1221,-0.145
0.9403,0.1563,-0.0834
0.8054,0.1739,-0.061
0.6779,0.1436,-0.0874
0.5836,0.0952,-0.1089
0.5572,0.0625,-0.0556
0.5734,0.0512,0.0138
0.6765,0.0322,-0.0156
0.8411,0.0444,-0.1099
0.9476,0.0796,-0.1714
1.0204,0.1323,-0.1421
1.0326,0.1812,-0.101
0.9833,0.2379,-0.0478
0.9505,0.2638,0.0548
1.0268,0.2707,0.1145
1.1763,0.2716,0.0768
1.3884,0.2819,-0.0126
1.4714,0.1895,-0.2144
1.359,0.2956,-0.2056
1.2213,0.6117,-0.4333
1.5525,0.4402,-0.6365
1.5906,0.1754,-0.8633
1.0791,-0.0377,-0.6762
0.7532,-0.13,-0.2896
0.5323,-0.1887,0.0416
0.5704,-0.091,0.2043
0.78,0.0762,0.1467
0.9261,0.21,-0.0458
0.9638,0.1275,-0.2315
0.9833,0.0923,-0.2393
1.0815,0.1402,-0.1524
1.0986,0.2198,-0.1294
1.0248,0.2432,-0.209
0.9007,0.1925,-0.2691
0.7991,0.1661,-0.1734
0.6657,0.1646,-0.0537
0.6051,0.1676,-0.0126
0.6594,0.1759,-0.0947
0.7092,0.1734,-0.1758
0.823,0.1729,-0.1729
0.9833,0.1671,-0.1221
1.0981,0.1587,-0.1064
1.1719,0.1475,-0.1015
1.2574,0.0463,-0.0444
1.3209,-0.0914,0.0382
1.3717,-0.1867,0.1389
1.3493,-0.1364,0.218
1.1778,-0.0778,0.304
0.9911,-0.1149,0.389
0.9941,-0.1378,0.3558
0.9589,-0.1325,0.0328
0.8592,-0.177,-0.3581
1.064,-0.0778,-0.3395
1.4812,0.4641,-0.0854
1.4182,0.6635,-0.3459
1.166,0.8491,-0.5188
0.8323,0.5902,-0.4152
0.6506,0.318,-0.0839
0.6256,0.1832,0.1525
0.5914,0.0537,0.1315
0.8396,0.3068,0.0895
1.1382,0.4231,-0.1592
1.3156,0.3928,-0.3473
1.3146,0.3493,-0.2545
1.1299,0.3948,-0.1958
1.0268,0.4939,-0.2476
0.8861,0.5232,-0.3126
0.8045,0.5115,-0.2398
0.716,0.4915,-0.0302
0.6667,0.4529,-0.0009
0.7586,0.3317,-0.1245
0.8538,0.1861,-0.294
0.9862,0.0835,-0.2232
0.9667,0.0635,-0.0497
0.8626,0.1358,0.091
0.7927,0.2364,-0.0029
0.8196,0.3122,-0.2085
0.9037,0.2809,-0.2657
0.8998,0.1934,-0.1768
0.7483,0.1362,-0.0356
0.6848,0.1065,0.0934
0.8578,0.0693,0.1755
1.019,0.0684,0.0988
1.1001,0.0645,-0.0576
1.0361,0.0908,-0.1489
0.9926,0.105,0.0177
0.9349,0.1465,0.2659
0.9383,0.1666,0.3612
0.9491,0.1851,0.2532
1.0238,0.1944,0.1687
1.1103,0.1284,0.2122
1.1089,0.0248,0.2522
1.1567,-0.0631,0.3059
1.2452,-0.0792,0.3773
1.3537,-0.0763,0.3485
1.3063,-0.0191,0.1877
1.1157,0.0996,0.0968
0.696,0.2682,0.1345
0.5059,0.5716,0.1926
0.8885,0.8521,-0.0346
1.5848,0.7231,-0.468
1.9947,0.2672,-0.6722
1.6117,0.017,-0.4084
0.8372,-0.0479,0.2317
0.418,0.1265,0.5185
0.5127,0.4011,0.1101
0.8201,0.5496,-0.3258
0.9579,0.5618,-0.5501
0.9442,0.5076,-0.4093
0.9887,0.4372,-0.3214
0.9476,0.4026,-0.4885
0.9955,0.3576,-0.5999
0.9902,0.3034,-0.4704
0.9633,0.1851,-0.1304
1.0014,0.0723,0.028
1.0693,-0.0729,-0.0346
1.1582,-0.1559,-0.1343
1.1719,-0.0729,-0.1411
1.0849,0.0297,-0.0996
1.1099,0.0537,-0.0258
1.1514,0.1094,-0.0082
1.1734,0.2462,-0.0463
1.082,0.3855,-0.0898
0.9212,0.4641,-0.0737
0.7263,0.5145,-0.0009
0.6706,0.4436,0.088
0.7639,0.2687,0.1389
0.7219,0.0268,0.1007
0.9227,-0.07,0.1076
1.1499,-0.0763,0.0651
1.3043,-0.0181,0.0333
1.358,0.1167,0.091
1.3156,0.232,0.1237
1.23,0.2633,0.0592
1.1221,0.2511,-0.0507
1.04,0.2535,-0.0576
0.9339,0.2047,-0.1211
0.7449,0.1148,-0.2242
0.909,-0.0748,-0.3566
1.2608,-0.2683,-0.4387
1.5437,-0.0108,-0.4641
1.4758,0.3777,-0.468
0.9374,0.2975,-0.448
0.6828,0.1749,-0.2174
0.7864,0.0649,0.007
0.9173,-0.0474,0.045
1.0004,-0.003,-0.0576
1.1094,0.0767,-0.127
1.1645,0.147,-0.2012
1.1934,0.1661,-0.2345
1.0903,0.1392,-0.2135
0.8924,0.1133,-0.1387
0.7175,0.0991,-0.0615
0.6329,0.0762,-0.0078
0.5704,0.0341,-0.0454
0.5538,0.0092,-0.0688
0.6628,0.0209,-0.0497
0.8827,0.0591,-0.0195
1.1362,0.1089,-0.0336
1.4284,0.1671,-0.0707
1.6337,0.2291,-0.1494
1.5574,0.2638,-0.3106
1.3624,0.3302,-0.2672
1.2032,0.3131,-0.0497
0.7551,0.2692,0.005
0.4634,0.2882,0.0421
0.5079,0.3913,-0.1231
1.0151,0.2008,-0.342
1.2134,-0.1129,-0.6527
1.2623,-0.2908,-0.5867
1.0341,-0.3641,-0.3346
0.6828,-0.3162,-0.0512
0.7165,0.02,0.1306
0.8391,0.212,0.0324
0.9364,0.298,-0.1265
0.8479,0.2564,-0.1826
0.6134,0.106,-0.1397
0.7194,0.0214,-0.0229
0.8885,-0.0054,-0.02
0.9784,-0.0035,-0.1182
1.037,-0.0084,-0.1753
1.0536,-0.0152,-0.1729
1.0752,-0.0323,-0.1392
1.0546,-0.0113,-0.0649
1.0048,0.0361,-0.0268
1.0151,0.0786,-0.0175
1.1401,0.064,-0.0297
1.2725,-0.0245,-0.0395
1.2999,-0.1041,-0.0248
1.2633,-0.1461,0.0324
1.1768,-0.1687,0.0221
1.1348,-0.1892,-0.0288
1.188,-0.3001,-0.19
1.3287,-0.1539,-0.3761
1.3532,0.0488,-0.5364
1.2364,0.1666,-0.4817
1.0077,0.2452,-0.422
0.7703,0.3073,-0.3527
0.7053,0.299,-0.273
0.7932,0.2086,-0.2633
0.8646,0.1734,-0.2447
0.974,0.1847,-0.1738
1.0517,0.1602,-0.1812
1.1089,0.1113,-0.1455
1.1494,0.106,-0.1362
1.0654,0.1152,-0.1035
0.9286,0.146,-0.0454
0.802,0.1641,-0.0722
0.6994,0.1871,-0.0996
0.6501,0.1812,-0.127
0.673,0.1348,-0.1059
0.7488,0.0723,-0.0356
0.8519,0.0375,0.0074
0.9672,0.0165,-0.0121
1.0815,0.0488,-0.0629
1.2149,0.1196,-0.06
1.2951,0.2213,-0.0727
1.3419,0.2907,-0.1411
1.2647,0.3205,-0.1978
1.168,0.3117,-0.148
1.037,0.2564,-0.1963
0.9183,0.2491,-0.082
0.9041,0.3244,-0.0771
1.1304,0.2599,-0.2031
1.3156,0.0606,-0.4787
